Start Time,End Time,Open,High,Low,Close,Vol,Vol-Avg,Range,POC,VA High,VA Low,VA Range,TPO T,TPO AB,TPO BL,SF,TFF,RF,VTY,Dist(s),Bracket UL,Bracket UO,Bracket UQ,Bracket MID,Bracket LQ,Bracket LO,Bracket LL,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO,Datetime,ULBreakoutPL,ULBreakout
2004.05.14 00:00,2004.05.20 23:30,1.18133,1.2058,1.17806,1.19622,6832478,1366496,277.4,1.2007,1.2036,1.192,116.0,2509,545,1911,0.29,3.61,9,19.0,1.0,1.2056,1.2022,1.1988,1.192,1.1852,1.1818,1.1784,934,888,314,368,2004-05-20 23:30:00,-67.99999999999918,2
2004.05.18 00:00,2004.05.24 23:30,1.20218,1.20679,1.1894200000000001,1.2002,6835120,1367024,173.7,1.2007,1.202,1.195,70.0,2334,544,1725,0.32,5.37,0,17.5,1.0,1.2062,1.20412,1.20205,1.1979,1.19375,1.1916799999999999,1.1896,230,1006,857,235,2004-05-24 23:30:00,41.49999999999876,1
2004.05.19 00:00,2004.05.25 23:30,1.1946,1.2126299999999999,1.1894200000000001,1.21045,6840151,1368030,232.1,1.2007,1.2028,1.1936,92.0,2267,831,1369,0.61,3.88,32,17.0,1.0,1.2122,1.20937,1.20655,1.2009,1.19525,1.1924299999999999,1.1896,231,598,1000,432,2004-05-25 23:30:00,56.499999999999325,1
2004.05.20 00:00,2004.05.26 23:30,1.20052,1.21422,1.1894200000000001,1.2099,6821201,1364240,248.0,1.2107,1.2132,1.1968,164.0,2229,267,1910,0.14,3.57,12,16.7,1.0,1.2138,1.2107700000000001,1.20775,1.2017,1.19565,1.1926299999999999,1.1896,615,330,852,426,2004-05-26 23:30:00,60.499999999998884,1
2004.05.26 00:00,2004.06.01 23:30,1.2105,1.22956,1.20814,1.2244700000000002,6583447,1316689,214.2,1.2107,1.2236,1.2086,150.0,2218,1933,240,8.05,4.11,18,16.9,1.0,1.229,1.2264,1.2238,1.2186,1.2134,1.2108,1.2082,602,786,294,531,2004-06-01 23:30:00,-52.00000000000093,2
2004.05.28 00:00,2004.06.03 23:30,1.22554,1.2303,1.21543,1.22242,6614545,1322909,148.7,1.2209,1.225,1.2184,66.0,2193,1499,621,2.41,5.85,-2,16.7,1.0,1.2296,1.2279200000000001,1.22625,1.2229,1.21955,1.2178799999999999,1.2162,383,584,935,279,2004-06-03 23:30:00,33.49999999999964,1
2004.05.31 00:00,2004.06.04 23:30,1.22304,1.2303,1.21395,1.22817,6620221,1324044,163.5,1.2209,1.2248,1.2188,60.0,2269,1466,711,2.06,5.47,5,17.2,1.0,1.23,1.2282,1.2264,1.2228,1.2192,1.2174,1.2156,282,634,1067,274,2004-06-04 23:30:00,36.000000000000476,1
2004.06.01 00:00,2004.06.07 23:30,1.21824,1.23373,1.21395,1.2317,6853185,1370637,197.8,1.2217,1.2272,1.218,92.0,2291,1475,744,1.98,4.58,20,17.3,1.0,1.2336,1.23135,1.2291,1.2246,1.2201,1.21785,1.2156,418,462,1083,316,2004-06-07 23:30:00,-44.99999999999948,2
2004.06.16 00:00,2004.06.22 23:30,1.2157799999999999,1.2167700000000001,1.19725,1.2106700000000001,6801916,1360383,195.2,1.2093,1.2158,1.2038,120.0,2188,890,1255,0.71,4.47,-8,16.3,1.0,1.2166,1.21418,1.21175,1.2069,1.20205,1.1996200000000001,1.1972,519,708,536,424,2004-06-22 23:30:00,-48.49999999999799,2
2004.06.18 00:00,2004.06.24 23:30,1.2049299999999998,1.2191100000000001,1.19725,1.21668,6800794,1360159,218.6,1.2087,1.2144,1.2066,78.0,2162,1393,707,1.97,3.93,4,16.1,1.0,1.2188,1.2161,1.2134,1.208,1.2026,1.1999,1.1972,364,1247,366,182,2004-06-24 23:30:00,-54.00000000000071,2
